DeviceObj,Circuit,Location,Debug
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.12,4005,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.13,4005,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.14,4016,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.15,4016,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.16,4016,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.17,4014,
Bathroom,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.17,4015,
Bathroom,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.17,4015A,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.18,4013,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.18,4014,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.19,4014,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.21,4013,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.21,4014,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.22,4012,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.23,4011,
Hand dryer,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.24,4010,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.25,4009,
UV,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.26,4090,
UV,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.27,4074,
UV,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.28,4007,
UV,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.28,4008,
UV,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.29,4005,
UV,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.29,4006,
UV,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.29,4004,
UV,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.30,4014,
UV,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.30,4016,
Hand dryer,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.31,4015,
Washer,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.32,4014,
Hand dryer,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.33,4015A,
Gas range,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.34,4016,
Dishwasher,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.35,4014,
Exhaust hood,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.37,4014,
Disposal,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.41,4016,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.2,4020,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.3,4020,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.4,4020,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.5,4021,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.6,4021,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.7,4021A,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.8,4021A,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.9,4068,
Janitor Closet,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.9,4068,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.10,4068,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.11,4068,
Lights vestibule,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.12,4068,
Lights Library (wall),MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.14,3037A,
Lights Library (wall),MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.15,3037A,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.16,4064,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.17,4064,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.18,4064,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.19,4063,
